"inventory_origin","legacy_id","legacy_title","legacy_date","legacy_era","legacy_region","disposition","proposed_canonical_id","proposed_title","proposed_date","destination","rationale","overlap_or_prerequisite_notes","research_editorial_status"
"timeline-stub","bronze_spreads","Bronze Tools Spread Across Eurasia","c. 2000 BCE","foundations","Europe/Asia","Reframe","lesson.technology.wheels-metals-and-work","Wheels, Metals, and Specialized Work","c. 3600–2000 BCE","World Spine — chapter 02","The topic is consequential, but the legacy title overstates a single event, inventor, cause, identity, or certainty; the canonical node teaches the broader evidence-based process.","Mapped to lesson.technology.wheels-metals-and-work; prerequisite(s): lesson.farming.settlements.","Framing review; readiness: Planned."
"timeline-stub","canaanite_city_states","Canaanite City-States and Amarna Letters","c. 1400 BCE","foundations","Levant","Merge","lesson.bronze-age.diplomacy-and-rivalry","Diplomacy and Rivalry in the Late Bronze Age","c. 1550–1200 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.bronze-age.diplomacy-and-rivalry; prerequisite(s): lesson.bronze-age.exchange-networks.","Source brief required; readiness: Planned."
"timeline-stub","caral_norte_chico","Caral: Andean Cities Without Pottery","c. 2600 BCE","foundations","Peru","Adapt or rename","lesson.caral.andean-urbanism","Caral and Early Andean Urbanism","c. 3000–1800 BCE","World Spine — chapter 02","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.caral.andean-urbanism; prerequisite(s): lesson.farming.multiple-origins.","Source set identified; readiness: Ready candidate."
"timeline-stub","cycladic_culture","Cycladic Island Culture","c. 2800 BCE","foundations","Aegean Islands","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","early_vedic_societies","Early Vedic Societies in South Asia","c. 1500 BCE","foundations","South Asia","Merge","lesson.india.vedic-upanishadic-inquiry","Vedic Traditions and Upanishadic Questions","c. 800–400 BCE","World Spine — chapter 03","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.india.vedic-upanishadic-inquiry; prerequisite(s): lesson.farming.multiple-origins.","Source set identified; readiness: Planned."
"timeline-stub","ebla_archives","Ebla Palace Archives","c. 2400 BCE","foundations","Syria","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","el_argar","El Argar and Iberian Bronze Age","c. 2200 BCE","foundations","Iberia","Move to another Journey type","None","None","None","Story Arc — War, states, and strategy","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","erlitou","Erlitou and Early Chinese Bronze States","c. 1900 BCE","foundations","China","Merge","lesson.china.shang-bronze-and-writing","Shang Power, Bronze, and Oracle Bones","c. 1600–1046 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.china.shang-bronze-and-writing; prerequisite(s): lesson.technology.wheels-metals-and-work.","Source set identified; readiness: Planned."
"timeline-stub","gilgamesh","Epic of Gilgamesh Written","c. 2100 BCE","foundations","Mesopotamia","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","hammurabi","Code of Hammurabi","c. 1750 BCE","foundations","Babylon","Adapt or rename","lesson.mesopotamia.law-and-kingship","Law, Kingship, and Hammurabi's Babylon","c. 1800–1600 BCE","World Spine — chapter 02","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.mesopotamia.law-and-kingship; prerequisite(s): lesson.mesopotamia.akkadian-empire.","Source brief required; readiness: Planned."
"timeline-stub","hatshepsut","Reign of Pharaoh Hatshepsut","c. 1478 BCE","foundations","Egypt","Merge","lesson.bronze-age.diplomacy-and-rivalry","Diplomacy and Rivalry in the Late Bronze Age","c. 1550–1200 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.bronze-age.diplomacy-and-rivalry; prerequisite(s): lesson.bronze-age.exchange-networks.","Source brief required; readiness: Planned."
"timeline-stub","hieroglyphs","Egyptian Hieroglyphs Standardized","c. 3200 BCE","foundations","Egypt","Merge","lesson.egypt.nile-state","The Nile and an Early Egyptian State","c. 3200–2700 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.egypt.nile-state; prerequisite(s): lesson.uruk.first-city.","Source set identified; readiness: Ready candidate."
"timeline-stub","hittites","Hittite Empire in Anatolia","c. 1600 BCE","foundations","Anatolia","Merge","lesson.bronze-age.diplomacy-and-rivalry","Diplomacy and Rivalry in the Late Bronze Age","c. 1550–1200 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.bronze-age.diplomacy-and-rivalry; prerequisite(s): lesson.bronze-age.exchange-networks.","Source brief required; readiness: Planned."
"timeline-stub","imhotep","Imhotep & The Step Pyramid","c. 2630 BCE","foundations","Egypt","Merge","lesson.egypt.pyramids-and-state-labor","Pyramids, Builders, and Evidence","c. 2700–2500 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.egypt.pyramids-and-state-labor; prerequisite(s): lesson.egypt.nile-state.","Stage 3B direction approved; prototype review pending."
"timeline-stub","indus_cities","Rise of Mohenjo-Daro","c. 2500 BCE","foundations","India/Pakistan","Merge","lesson.indus.cities-and-signs","Indus Cities and Undeciphered Signs","c. 2600–1900 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.indus.cities-and-signs; prerequisite(s): lesson.writing.early-systems.","Source set identified; readiness: Ready candidate."
"timeline-stub","indus_script","Indus Valley Script Appears","c. 2600 BCE","foundations","India/Pakistan","Merge","lesson.indus.cities-and-signs","Indus Cities and Undeciphered Signs","c. 2600–1900 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.indus.cities-and-signs; prerequisite(s): lesson.writing.early-systems.","Source set identified; readiness: Ready candidate."
"timeline-stub","iron_age_begins","Iron Age Begins in the Near East","c. 1100 BCE","foundations","Anatolia/Levant","Reframe","lesson.iron-age.technology-and-states","Iron, Farming, and New States","c. 1200–700 BCE","World Spine — chapter 03","The topic is consequential, but the legacy title overstates a single event, inventor, cause, identity, or certainty; the canonical node teaches the broader evidence-based process.","Mapped to lesson.iron-age.technology-and-states; prerequisite(s): lesson.bronze-age.transformation.","Source brief required; readiness: Planned."
"timeline-stub","kadesh","Battle of Kadesh (First Peace Treaty)","1274 BCE","foundations","Syria","Merge","lesson.bronze-age.diplomacy-and-rivalry","Diplomacy and Rivalry in the Late Bronze Age","c. 1550–1200 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.bronze-age.diplomacy-and-rivalry; prerequisite(s): lesson.bronze-age.exchange-networks.","Source brief required; readiness: Planned."
"timeline-stub","kassite_babylon","Kassite Babylon After Hammurabi","c. 1595 BCE","foundations","Babylon","Move to another Journey type","None","None","None","Story Arc — War, states, and strategy","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","kerma","Kingdom of Kerma in Nubia","c. 2500 BCE","foundations","Nubia (Sudan)","Adapt or rename","lesson.nubia.kerma-and-nile-world","Kerma and the Middle Nile","c. 2500–1500 BCE","World Spine — chapter 02","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.nubia.kerma-and-nile-world; prerequisite(s): lesson.egypt.nile-state.","Source brief required; readiness: Planned."
"timeline-stub","magan_dilmun_trade","Magan, Dilmun & Gulf Copper Trade","c. 2300 BCE","foundations","Persian Gulf/Oman","Merge","lesson.bronze-age.exchange-networks","Bronze Age Exchange Networks","c. 2300–1200 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.bronze-age.exchange-networks; prerequisite(s): lesson.technology.wheels-metals-and-work.","Source set identified; readiness: Ready candidate."
"timeline-stub","mari_letters","Mari and the Palace Letter Network","c. 1800 BCE","foundations","Syria/Mesopotamia","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","minoans","Minoan Civilization on Crete","c. 2000 BCE","foundations","Crete (Greece)","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","mitanni","Mitanni Horse Kingdom","c. 1500 BCE","foundations","Syria/Northern Mesopotamia","Merge","lesson.bronze-age.diplomacy-and-rivalry","Diplomacy and Rivalry in the Late Bronze Age","c. 1550–1200 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.bronze-age.diplomacy-and-rivalry; prerequisite(s): lesson.bronze-age.exchange-networks.","Source brief required; readiness: Planned."
"timeline-stub","mycenaeans","Mycenaean Greece & Warrior Kings","c. 1600 BCE","foundations","Greece","Move to another Journey type","None","None","None","Story Arc — War, states, and strategy","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","narmer","Unification of Upper & Lower Egypt","c. 3100 BCE","foundations","Egypt","Merge","lesson.egypt.nile-state","The Nile and an Early Egyptian State","c. 3200–2700 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.egypt.nile-state; prerequisite(s): lesson.uruk.first-city.","Source set identified; readiness: Ready candidate."
"timeline-stub","neolithic_revolution","The Agricultural Revolution","c. 10,000 BCE","foundations","Fertile Crescent","Reframe","lesson.farming.multiple-origins","Many Beginnings of Farming","c. 10,000–3000 BCE","World Spine — chapter 01","The topic is consequential, but the legacy title overstates a single event, inventor, cause, identity, or certainty; the canonical node teaches the broader evidence-based process.","Mapped to lesson.farming.multiple-origins; prerequisite(s): lesson.climate.holocene-transition.","Source set identified; readiness: Planned."
"timeline-stub","nuragic_sardinia","Nuragic Sardinia and Tower Societies","c. 1700 BCE","foundations","Sardinia","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","olmec","Olmec Civilization Rises","c. 1200 BCE","foundations","Mesoamerica","Adapt or rename","lesson.mesoamerica.olmec-world","Olmec Centers and Mesoamerican Exchange","c. 1200–400 BCE","World Spine — chapter 03","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.mesoamerica.olmec-world; prerequisite(s): lesson.farming.multiple-origins.","Source brief required; readiness: Planned."
"timeline-stub","oracle_bones","Shang Oracle Bones & Chinese Writing","c. 1200 BCE","foundations","China","Merge","lesson.china.shang-bronze-and-writing","Shang Power, Bronze, and Oracle Bones","c. 1600–1046 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.china.shang-bronze-and-writing; prerequisite(s): lesson.technology.wheels-metals-and-work.","Source set identified; readiness: Planned."
"timeline-stub","otzi","Ötzi the Iceman Lives","c. 3300 BCE","foundations","Europe","Move to another Journey type","None","None","None","Idea Trail — Evidence, invention, and environment","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","oxus_civilization","Oxus Civilization / BMAC","c. 2200 BCE","foundations","Central Asia","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","philistines","Philistines and the Post-Collapse Levant","c. 1175 BCE","foundations","Levant","Merge","lesson.bronze-age.transformation","The Late Bronze Age Transformation","c. 1250–1050 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.bronze-age.transformation; prerequisite(s): lesson.bronze-age.diplomacy-and-rivalry.","Framing review; readiness: Research required."
"timeline-stub","phoenicians","Phoenician Alphabet Developed","c. 1050 BCE","foundations","Lebanon","Merge","lesson.alphabets.mediterranean-transmission","Alphabets Across the Mediterranean","c. 1100–600 BCE","World Spine — chapter 03","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.alphabets.mediterranean-transmission; prerequisite(s): lesson.writing.early-systems.","Source set identified; readiness: Planned."
"timeline-stub","proto_elamite_susa","Proto-Elamite Susa & Early Iranian Cities","c. 3200 BCE","foundations","Iran/Elam","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","pyramids","Great Pyramid of Giza","c. 2580 BCE","foundations","Egypt","Merge","lesson.egypt.pyramids-and-state-labor","Pyramids, Builders, and Evidence","c. 2700–2500 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.egypt.pyramids-and-state-labor; prerequisite(s): lesson.egypt.nile-state.","Stage 3B direction approved; prototype review pending."
"timeline-stub","sanxingdui","Sanxingdui Bronze Culture","c. 1200 BCE","foundations","China","Merge","lesson.china.shang-bronze-and-writing","Shang Power, Bronze, and Oracle Bones","c. 1600–1046 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.china.shang-bronze-and-writing; prerequisite(s): lesson.technology.wheels-metals-and-work.","Source set identified; readiness: Planned."
"timeline-stub","sargon","Sargon of Akkad: First Empire","c. 2334 BCE","foundations","Mesopotamia","Adapt or rename","lesson.mesopotamia.akkadian-empire","Akkad and the Problem of Empire","c. 2350–2150 BCE","World Spine — chapter 02","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.mesopotamia.akkadian-empire; prerequisite(s): lesson.writing.early-systems.","Source brief required; readiness: Ready candidate."
"timeline-stub","sea_peoples","Collapse of Bronze Age / Sea Peoples","c. 1177 BCE","foundations","Mediterranean","Reframe","lesson.bronze-age.transformation","The Late Bronze Age Transformation","c. 1250–1050 BCE","World Spine — chapter 02","The topic is consequential, but the legacy title overstates a single event, inventor, cause, identity, or certainty; the canonical node teaches the broader evidence-based process.","Mapped to lesson.bronze-age.transformation; prerequisite(s): lesson.bronze-age.diplomacy-and-rivalry.","Framing review; readiness: Research required."
"timeline-stub","seima_turbino","Seima-Turbino Bronze Network","c. 1900 BCE","foundations","Siberia/Central Asia","Merge","lesson.bronze-age.exchange-networks","Bronze Age Exchange Networks","c. 2300–1200 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.bronze-age.exchange-networks; prerequisite(s): lesson.technology.wheels-metals-and-work.","Source set identified; readiness: Ready candidate."
"timeline-stub","shang","Shang Dynasty & Bronze Age","c. 1600 BCE","foundations","China","Merge","lesson.china.shang-bronze-and-writing","Shang Power, Bronze, and Oracle Bones","c. 1600–1046 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.china.shang-bronze-and-writing; prerequisite(s): lesson.technology.wheels-metals-and-work.","Source set identified; readiness: Planned."
"timeline-stub","sintashta_chariots","Sintashta Chariots and Steppe Warfare","c. 2000 BCE","foundations","Eurasian Steppe","Merge","lesson.steppe.chariots-and-mobility","Steppe Mobility and the Chariot","c. 2100–1500 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.steppe.chariots-and-mobility; prerequisite(s): lesson.animals.domestication-and-pastoralism.","Source brief required; readiness: Planned."
"timeline-stub","steppe_metallurgy","Steppe Metallurgy and Semiyarka","c. 1600 BCE","foundations","Kazakhstan","Merge","lesson.steppe.chariots-and-mobility","Steppe Mobility and the Chariot","c. 2100–1500 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.steppe.chariots-and-mobility; prerequisite(s): lesson.animals.domestication-and-pastoralism.","Source brief required; readiness: Planned."
"timeline-stub","stonehenge","Construction of Stonehenge","c. 2500 BCE","foundations","England","Move to another Journey type","None","None","None","Idea Trail — Belief, ritual, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","sumer_writing","Invention of Cuneiform","c. 3400 BCE","foundations","Mesopotamia","Keep","lesson.writing.early-systems","From Marks to Proto-Cuneiform","c. 3200–2800 BCE","World Spine — chapter 02","The implemented canonical lesson preserves this legacy concept with stable identity and approved evidence-aware scope.","Mapped to lesson.writing.early-systems; prerequisite(s): lesson.uruk.first-city.","Current approved lesson; readiness: Approved reference."
"timeline-stub","trojan_war","The Trojan War (Myth & Memory)","c. 1200 BCE","foundations","Turkey/Greece","Reframe","lesson.bronze-age.transformation","The Late Bronze Age Transformation","c. 1250–1050 BCE","World Spine — chapter 02","The topic is consequential, but the legacy title overstates a single event, inventor, cause, identity, or certainty; the canonical node teaches the broader evidence-based process.","Mapped to lesson.bronze-age.transformation; prerequisite(s): lesson.bronze-age.diplomacy-and-rivalry.","Framing review; readiness: Research required."
"timeline-stub","tut","Tutankhamun's Restoration","c. 1332 BCE","foundations","Egypt","Move to another Journey type","None","None","None","Idea Trail — Belief, ritual, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","ugarit","Ugarit and Alphabetic Cuneiform","c. 1400 BCE","foundations","Syria","Merge","lesson.alphabets.mediterranean-transmission","Alphabets Across the Mediterranean","c. 1100–600 BCE","World Spine — chapter 03","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.alphabets.mediterranean-transmission; prerequisite(s): lesson.writing.early-systems.","Source set identified; readiness: Planned."
"timeline-stub","uluburun","Uluburun Shipwreck: Bronze Age Super-Cargo","c. 1300 BCE","foundations","Mediterranean","Merge","lesson.bronze-age.exchange-networks","Bronze Age Exchange Networks","c. 2300–1200 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.bronze-age.exchange-networks; prerequisite(s): lesson.technology.wheels-metals-and-work.","Source set identified; readiness: Ready candidate."
"timeline-stub","unetice_nebra","Unetice Culture and the Nebra Sky Disk","c. 1800 BCE","foundations","Central Europe","Move to another Journey type","None","None","None","Idea Trail — Belief, ritual, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","ur_standard","The Standard of Ur","c. 2600 BCE","foundations","Mesopotamia","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","uruk","Uruk Grows into First Big City","c. 3200 BCE","foundations","Mesopotamia","Keep","lesson.uruk.first-city","Uruk: Life in an Early City","c. 3500–3000 BCE","World Spine — chapter 02","The implemented canonical lesson preserves this legacy concept with stable identity and approved evidence-aware scope.","Mapped to lesson.uruk.first-city; prerequisite(s): lesson.farming.settlements.","Current approved lesson; readiness: Approved reference."
"timeline-stub","wheel","Invention of the Wheel","by c. 3600 BCE","foundations","Europe/Mesopotamia","Merge","lesson.technology.wheels-metals-and-work","Wheels, Metals, and Specialized Work","c. 3600–2000 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.technology.wheels-metals-and-work; prerequisite(s): lesson.farming.settlements.","Framing review; readiness: Planned."
"expanded-content-only","wheel_legacy","The Wheel's Hidden Legacy","c. 3500 BCE","foundations","Mesopotamia/Eurasia","Merge","lesson.technology.wheels-metals-and-work","Wheels, Metals, and Specialized Work","c. 3600–2000 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.technology.wheels-metals-and-work; prerequisite(s): lesson.farming.settlements.","Framing review; readiness: Planned."
"timeline-stub","zoroastrianism","Teachings of Zoroaster (Zarathustra)","c. 1000 BCE","foundations","Persia","Research further","lesson.iran.zoroastrian-traditions","Zoroastrian Traditions and Iranian Worlds","probably c. 1000–500 BCE; disputed","World Spine — chapter 03","The tradition is consequential, but the legacy date and origin claim exceed scholarly certainty; retain only behind a dedicated chronology review.","Mapped to lesson.iran.zoroastrian-traditions; prerequisite(s): lesson.iron-age.technology-and-states.","Framing review; readiness: Research required."
