"order","canonical_id","learner_title","start_year","end_year","date_display","chapter","scope","inclusion_rationale","prerequisites","predecessor","successor","legacy_aliases","research_status","readiness"
"11","lesson.uruk.first-city","Uruk: Life in an Early City","-3500","-3000","c. 3500–3000 BCE","02","City-scale coordination, water, food, labor, and unequal access in southern Mesopotamia.","The first approved reference demonstrates how urban life changed coordination.","lesson.farming.settlements","lesson.technology.wheels-metals-and-work","lesson.writing.early-systems","uruk","Current approved lesson","Approved reference"
"12","lesson.writing.early-systems","From Marks to Proto-Cuneiform","-3200","-2800","c. 3200–2800 BCE","02","How selected information became durable in early southern Mesopotamian record systems.","Explains administration and the distinction between marks, proto-writing, and later writing.","lesson.uruk.first-city","lesson.uruk.first-city","lesson.egypt.nile-state","sumer_writing","Current approved lesson","Approved reference"
"13","lesson.egypt.nile-state","The Nile and an Early Egyptian State","-3200","-2700","c. 3200–2700 BCE","02","Political unification, river ecology, administration, and early hieroglyphic systems.","Provides a contrasting early-state pathway tied to geography and evidence.","lesson.uruk.first-city","lesson.writing.early-systems","lesson.caral.andean-urbanism","hieroglyphs|narmer","Source set identified","Ready candidate"
"14","lesson.caral.andean-urbanism","Caral and Early Andean Urbanism","-3000","-1800","c. 3000–1800 BCE","02","Monumental centers, coastal-inland exchange, and urban complexity without pottery.","Expands explanatory models of cities with unusually revealing evidence.","lesson.farming.multiple-origins","lesson.egypt.nile-state","lesson.egypt.pyramids-and-state-labor","caral_norte_chico","Source set identified","Ready candidate"
"15","lesson.egypt.pyramids-and-state-labor","Pyramids, Builders, and Evidence","-2700","-2500","c. 2700–2500 BCE","02","How evidence for context, construction phase, date, builder, use, and purpose differs across Giza and Egyptian comparison cases.","Uses a famous monument to teach how claims of building, inheritance, repair, and reuse must be tested link by link.","lesson.egypt.nile-state","lesson.caral.andean-urbanism","lesson.indus.cities-and-signs","imhotep|pyramids","Revised framing approved; prototype review pending","Planned"
"16","lesson.indus.cities-and-signs","Indus Cities and Undeciphered Signs","-2600","-1900","c. 2600–1900 BCE","02","Urban planning, water systems, trade, and the limits imposed by an undeciphered script.","Adds a major independent urban tradition and teaches disciplined inference.","lesson.writing.early-systems","lesson.egypt.pyramids-and-state-labor","lesson.nubia.kerma-and-nile-world","indus_cities|indus_script","Source set identified","Ready candidate"
"17","lesson.nubia.kerma-and-nile-world","Kerma and the Middle Nile","-2500","-1500","c. 2500–1500 BCE","02","Nubian state formation, trade, craft, and changing relations with Egypt.","Explains the Nile as a connected political world rather than an Egypt-only story.","lesson.egypt.nile-state","lesson.indus.cities-and-signs","lesson.mesopotamia.akkadian-empire","kerma","Source brief required","Planned"
"18","lesson.mesopotamia.akkadian-empire","Akkad and the Problem of Empire","-2350","-2150","c. 2350–2150 BCE","02","Conquest, administration, imperial claims, and the limits of Akkadian control.","Introduces empire as a recurring political strategy rather than a celebratory first.","lesson.writing.early-systems","lesson.nubia.kerma-and-nile-world","lesson.bronze-age.exchange-networks","sargon","Source brief required","Ready candidate"
"19","lesson.bronze-age.exchange-networks","Bronze Age Exchange Networks","-2300","-1200","c. 2300–1200 BCE","02","Gulf, Anatolian, steppe, and Mediterranean routes moving metals, textiles, messages, and people.","Shows that early states depended on cross-regional exchange and specialist intermediaries.","lesson.technology.wheels-metals-and-work","lesson.mesopotamia.akkadian-empire","lesson.steppe.chariots-and-mobility","alashiya_cyprus|assyrian_trade|bronze_age_trade|magan_dilmun_trade|seima_turbino|uluburun","Source set identified","Ready candidate"
"20","lesson.steppe.chariots-and-mobility","Steppe Mobility and the Chariot","-2100","-1500","c. 2100–1500 BCE","02","Pastoral networks, horse transport, metallurgy, and chariot warfare.","Provides a causal bridge between mobile societies and changing Eurasian states.","lesson.animals.domestication-and-pastoralism","lesson.bronze-age.exchange-networks","lesson.mesopotamia.law-and-kingship","sintashta_chariots|steppe_metallurgy","Source brief required","Planned"
"21","lesson.mesopotamia.law-and-kingship","Law, Kingship, and Hammurabi's Babylon","-1800","-1600","c. 1800–1600 BCE","02","Royal law collections as evidence for authority, inequality, and legal ideals.","Uses a famous source to teach what laws reveal—and what they do not prove about practice.","lesson.mesopotamia.akkadian-empire","lesson.steppe.chariots-and-mobility","lesson.china.shang-bronze-and-writing","hammurabi","Source brief required","Planned"
"22","lesson.china.shang-bronze-and-writing","Shang Power, Bronze, and Oracle Bones","-1600","-1046","c. 1600–1046 BCE","02","Regional bronze states, ritual authority, warfare, and early Chinese writing.","Anchors early Chinese state formation in surviving objects and inscriptions.","lesson.technology.wheels-metals-and-work","lesson.mesopotamia.law-and-kingship","lesson.bronze-age.diplomacy-and-rivalry","erlitou|oracle_bones|sanxingdui|shang","Source set identified","Planned"
"23","lesson.bronze-age.diplomacy-and-rivalry","Diplomacy and Rivalry in the Late Bronze Age","-1550","-1200","c. 1550–1200 BCE","02","Egyptian, Hittite, Levantine, and Mesopotamian courts linked by war, marriage, gifts, and letters.","Makes interstate causality visible before the region's political transformation.","lesson.bronze-age.exchange-networks","lesson.china.shang-bronze-and-writing","lesson.bronze-age.transformation","canaanite_city_states|hatshepsut|hittites|kadesh|mitanni","Source brief required","Planned"
"24","lesson.bronze-age.transformation","The Late Bronze Age Transformation","-1250","-1050","c. 1250–1050 BCE","02","Uneven palace destruction, migration, conflict, climate stress, and continuity around the eastern Mediterranean.","Replaces a single-cause collapse story with a teachable evidence problem.","lesson.bronze-age.diplomacy-and-rivalry","lesson.bronze-age.diplomacy-and-rivalry","lesson.africa.bantu-language-dispersals","philistines|sea_peoples|trojan_war","Framing review","Research required"
"25","lesson.africa.bantu-language-dispersals","Bantu-Language Dispersals","-1500","1000","c. 1500 BCE–1000 CE","03","Long, varied movements of Bantu-speaking communities, farming practices, and local adaptation.","Explains a major linguistic and demographic history without reducing it to one migration wave.","lesson.farming.multiple-origins","lesson.bronze-age.transformation","lesson.iron-age.technology-and-states","bantu_migration","Framing review","Research required"
"26","lesson.iron-age.technology-and-states","Iron, Farming, and New States","-1200","-700","c. 1200–700 BCE","03","Uneven iron adoption, agricultural change, warfare, and post-palace state building.","Explains why the Iron Age was a regional transition, not a simultaneous invention.","lesson.bronze-age.transformation","lesson.africa.bantu-language-dispersals","lesson.mesoamerica.olmec-world","iron_age_begins","Source brief required","Planned"
"27","lesson.mesoamerica.olmec-world","Olmec Centers and Mesoamerican Exchange","-1200","-400","c. 1200–400 BCE","03","Gulf Coast centers, art, ritual, and exchange without an unsupported 'mother culture' claim.","Establishes an influential Mesoamerican tradition with strong visual evidence.","lesson.farming.multiple-origins","lesson.iron-age.technology-and-states","lesson.alphabets.mediterranean-transmission","olmec","Source brief required","Planned"
"28","lesson.alphabets.mediterranean-transmission","Alphabets Across the Mediterranean","-1100","-600","c. 1100–600 BCE","03","Phoenician consonantal writing and its adaptation by neighboring societies.","Shows how a portable information technology changed through exchange.","lesson.writing.early-systems","lesson.mesoamerica.olmec-world","lesson.china.zhou-mandate-and-order","phoenicians|ugarit","Source set identified","Planned"
"29","lesson.china.zhou-mandate-and-order","Zhou Rule and the Mandate of Heaven","-1046","-771","c. 1046–771 BCE","03","Conquest, delegated rule, ritual order, and the political idea of conditional legitimacy.","Provides essential background for later Chinese political thought and unification.","lesson.china.shang-bronze-and-writing","lesson.alphabets.mediterranean-transmission","lesson.levant.israel-judah-evidence","None","Source brief required","Planned"
"30","lesson.levant.israel-judah-evidence","Israel, Judah, Text, and Archaeology","-1000","-586","c. 1000–586 BCE","03","Highland states, inscriptions, biblical traditions, and disputed reconstructions.","Prepares later Judaism and monotheism while separating evidence from later tradition.","lesson.bronze-age.transformation","lesson.china.zhou-mandate-and-order","lesson.iran.zoroastrian-traditions","abraham|david","Framing review","Research required"
"31","lesson.iran.zoroastrian-traditions","Zoroastrian Traditions and Iranian Worlds","-1000","-500","probably c. 1000–500 BCE; disputed","03","Zarathustra's teachings, later texts, and uncertainty over origin dates and places.","Introduces a consequential tradition while making its chronology problem explicit.","lesson.iron-age.technology-and-states","lesson.levant.israel-judah-evidence","lesson.assyria.empire-and-deportation","zoroastrianism","Framing review","Research required"
"32","lesson.assyria.empire-and-deportation","Assyria: Empire, Administration, and Deportation","-900","-609","c. 900–609 BCE","03","Military logistics, provincial government, communication, forced movement, and royal representation.","Explains imperial capacity and violence that shaped later Near Eastern politics.","lesson.iron-age.technology-and-states","lesson.iran.zoroastrian-traditions","lesson.greece.epic-law-and-public-argument","nineveh","Source brief required","Planned"
"33","lesson.greece.epic-law-and-public-argument","From Epic Tradition to Public Argument","-800","-500","c. 800–500 BCE","03","Epic inheritance, written law, polis debate, and early natural inquiry as different ways of explaining order and human action.","Begins the Greek dialectical thread by showing how inherited authority met public, revisable argument without pretending myth disappeared.","lesson.alphabets.mediterranean-transmission","lesson.assyria.empire-and-deportation","lesson.india.vedic-upanishadic-inquiry","homer","Source set identified","Planned"
"34","lesson.india.vedic-upanishadic-inquiry","Vedic Traditions and Upanishadic Questions","-800","-400","c. 800–400 BCE","03","Changing Vedic ritual traditions and Upanishadic arguments about self, ultimate reality, action, rebirth, and liberation.","Establishes the questions and textual practices to which Buddhist, Jain, and later Hindu schools offered competing answers.","lesson.farming.multiple-origins","lesson.greece.epic-law-and-public-argument","lesson.greece.polis-citizenship-exclusion","early_vedic_societies","Source set identified","Planned"
"35","lesson.greece.polis-citizenship-exclusion","The Greek Polis: Citizenship and Exclusion","-800","-338","c. 800–338 BCE","03","Competing city-states, participation, slavery, gender exclusion, and warfare.","Provides prerequisite political vocabulary without treating Athens as universal democracy.","lesson.iron-age.technology-and-states","lesson.india.vedic-upanishadic-inquiry","lesson.india.buddhist-jain-challenges","marathon|olympics|peloponnesian_war|pericles|rome_founded","Framing review","Planned"
"36","lesson.india.buddhist-jain-challenges","Buddhist and Jain Challenges","-600","-300","c. 600–300 BCE","03","Buddhist, Jain, materialist, and other renunciant challenges concerning suffering, selfhood, action, nonviolence, authority, and liberation.","Shows a major dialectical break with inherited authority and supplies prerequisites for Mauryan politics and transregional religious change.","lesson.india.vedic-upanishadic-inquiry","lesson.greece.polis-citizenship-exclusion","lesson.china.confucian-daoist-legalist-debates","buddha","Source set identified","Planned"
"37","lesson.china.confucian-daoist-legalist-debates","Hundred Schools: Competing Ways to Order Society","-600","-221","c. 600–221 BCE","03","Confucian, Mohist, Daoist, and Legalist arguments about virtue, ritual, authority, human nature, and effective government.","Establishes a sustained argument whose rival answers shaped Qin policy, Han institutions, and later East Asian ethical life.","lesson.china.zhou-mandate-and-order","lesson.india.buddhist-jain-challenges","lesson.persia.achaemenid-empire","confucius","Source set identified","Planned"
"38","lesson.persia.achaemenid-empire","The Achaemenid Persian Empire","-550","-330","c. 550–330 BCE","03","Provincial rule, roads, tribute, local diversity, and imperial ideology from Cyrus onward.","Offers a high-leverage model for governing a vast connected empire.","lesson.assyria.empire-and-deportation","lesson.china.confucian-daoist-legalist-debates","lesson.rome.republic-and-expansion","cyrus","Source set identified","Planned"
"39","lesson.rome.republic-and-expansion","The Roman Republic and Mediterranean Expansion","-509","-44","509–44 BCE","03","Republican institutions, social conflict, military expansion, slavery, and civil war.","Explains the institutions and contradictions inherited by the Roman Empire.","lesson.greece.polis-citizenship-exclusion","lesson.persia.achaemenid-empire","lesson.greece.socrates-plato-and-good-life","caesar|hannibal|roman_republic","Source brief required","Planned"
"40","lesson.greece.socrates-plato-and-good-life","Socrates and Plato: How Should We Live?","-470","-347","c. 470–347 BCE","03","Socratic questioning, the trial of Socrates, Plato’s dialogues and Academy, and arguments about virtue, knowledge, justice, and political order.","Makes philosophical disagreement a consequence of polis crisis and establishes questions later ethical, political, and religious traditions inherited.","lesson.greece.epic-law-and-public-argument|lesson.greece.polis-citizenship-exclusion","lesson.rome.republic-and-expansion","lesson.hellenistic.connected-world","socrates|plato_academy","Source set identified","Planned"
"41","lesson.hellenistic.connected-world","Alexander's Conquests and a Hellenistic World","-336","-30","336–30 BCE","04","Conquest, successor kingdoms, new cities, cultural mixture, and unequal power.","Explains durable cross-regional connections without a one-way 'spread of Greek culture' story.","lesson.persia.achaemenid-empire","lesson.greece.socrates-plato-and-good-life","lesson.greece.aristotle-and-hellenistic-schools","alexander|alexandria_lib|cleopatra|hellenistic_science","Framing review","Planned"
"42","lesson.greece.aristotle-and-hellenistic-schools","Aristotle and the Hellenistic Schools","-335","-100","c. 335–100 BCE","04","Aristotle’s systematic ethics, politics, logic, and natural inquiry, followed by Stoic, Epicurean, skeptical, and other responses to life in larger kingdoms.","Explains how philosophical institutions organized knowledge and how new schools revised Greek ethics for a connected imperial world.","lesson.greece.socrates-plato-and-good-life|lesson.hellenistic.connected-world","lesson.hellenistic.connected-world","lesson.india.maurya-and-ashoka","aristotle_lyceum","Source set identified","Planned"
"43","lesson.india.maurya-and-ashoka","The Mauryan Empire and Ashoka","-321","-185","c. 321–185 BCE","04","Imperial administration, conquest, Ashoka's edicts, Buddhism, and moral kingship.","Links state power to unusually teachable inscriptions and transregional religious history.","lesson.india.buddhist-jain-challenges","lesson.greece.aristotle-and-hellenistic-schools","lesson.china.qin-unification","ashoka|mauryan_empire","Source brief required","Planned"
"44","lesson.china.qin-unification","Qin Unification and Its Costs","-221","-206","221–206 BCE","04","Standardization, bureaucracy, mass labor, military power, and rapid imperial collapse.","Provides a memorable case of state capacity and coercion.","lesson.china.confucian-daoist-legalist-debates","lesson.india.maurya-and-ashoka","lesson.china.han-state-and-silk-roads","qin_shi_huang|terracotta","Source brief required","Planned"
"45","lesson.china.han-state-and-silk-roads","The Han State and Early Silk Roads","-206","220","206 BCE–220 CE","04","Imperial government, frontier diplomacy, Central Asian routes, and exchanged goods and ideas.","Connects Chinese state formation to wider Afro-Eurasian networks.","lesson.china.qin-unification","lesson.china.qin-unification","lesson.china.han-confucian-imperial-synthesis","silk_road","Source set identified","Planned"
"46","lesson.china.han-confucian-imperial-synthesis","Han Synthesis: Classics, Statecraft, and Empire","-141","220","c. 141 BCE–220 CE","04","Han scholars and rulers constructing classical canons, commentarial traditions, moral cosmology, and state institutions from competing earlier ideas.","Shows how argument became institution: a selective Confucian-imperial synthesis shaped education, administration, and later Chinese philosophy.","lesson.china.confucian-daoist-legalist-debates|lesson.china.qin-unification","lesson.china.han-state-and-silk-roads","lesson.rome.mediterranean-empire","None","Source set identified","Planned"
"47","lesson.rome.mediterranean-empire","Rome's Mediterranean Empire","-27","235","27 BCE–235 CE","04","Imperial rule, citizenship, taxation, slavery, engineering, urban life, and frontier diversity.","Explains a consequential political system and its uneven effects across regions.","lesson.rome.republic-and-expansion","lesson.china.han-confucian-imperial-synthesis","lesson.mesoamerica.teotihuacan-metropolis","augustus|pompeii|roman_engineering","Source brief required","Planned"
"48","lesson.mesoamerica.teotihuacan-metropolis","Teotihuacan: A Mesoamerican Metropolis","1","550","c. 1–550 CE","04","Urban scale, apartment compounds, trade, religion, and unknown political identities.","Offers a high-interest city case where archaeology must carry the explanation.","lesson.mesoamerica.olmec-world","lesson.rome.mediterranean-empire","lesson.christianity.jesus-and-early-movement","teotihuacan","Source brief required","Planned"
"49","lesson.christianity.jesus-and-early-movement","Jesus and the Early Christian Movement","20","200","c. 20–200 CE","04","Jesus in Roman Judea, early communities, texts, missions, and diverse beliefs.","Supplies necessary context for a major transregional religion while distinguishing history and faith claims.","lesson.rome.mediterranean-empire","lesson.mesoamerica.teotihuacan-metropolis","lesson.judaism.rabbinic-argument-and-diaspora","early_christianity|jesus|jewish_wars","Framing review","Planned"
"50","lesson.judaism.rabbinic-argument-and-diaspora","Rabbinic Argument and Life After the Temple","70","650","c. 70–650 CE","04","Post-Temple Jewish communities, the Mishnah and Talmudic traditions, legal and ethical argument, and institutions in Roman and Sasanian worlds.","Explains how Judaism adapted through interpretive disagreement and portable institutions, creating a prerequisite for later Jewish philosophy and diaspora history.","lesson.levant.israel-judah-evidence|lesson.rome.mediterranean-empire","lesson.christianity.jesus-and-early-movement","lesson.africa.aksum-red-sea","None","Source set identified","Planned"
"51","lesson.africa.aksum-red-sea","Aksum and the Red Sea World","100","700","c. 100–700 CE","04","Trade, coinage, state power, Christianity, and links across Africa and Arabia.","Provides a causal bridge between African, Mediterranean, and Indian Ocean histories.","lesson.bronze-age.exchange-networks","lesson.judaism.rabbinic-argument-and-diaspora","lesson.knowledge.paper-numbers-and-administration","None","Source brief required","Planned"
"52","lesson.knowledge.paper-numbers-and-administration","Paper, Numbers, and Durable Knowledge","100","650","c. 100–650 CE","04","Paper in China, South Asian place-value mathematics, and the institutions moving knowledge.","Explains enabling information systems while avoiding lone-inventor and 'zero invented' myths.","lesson.writing.early-systems","lesson.africa.aksum-red-sea","lesson.india.classical-debate-logic-and-knowledge","paper","Framing review","Planned"
"53","lesson.india.classical-debate-logic-and-knowledge","Debate, Logic, and Knowledge in Classical India","200","700","c. 200–700 CE","04","Nyāya, Buddhist, Jain, Mīmāṃsā, Sāṃkhya, Vedānta, and other schools arguing about valid knowledge, language, causation, selfhood, and liberation.","Restores a sustained, institutionally supported culture of public debate and logical analysis that shaped South and Central Asian intellectual life.","lesson.india.buddhist-jain-challenges|lesson.india.maurya-and-ashoka","lesson.knowledge.paper-numbers-and-administration","lesson.iran-rome.frontier-empires","gupta","Source set identified","Planned"
"54","lesson.iran-rome.frontier-empires","Sasanian Iran and the Roman East","224","628","224–628 CE","04","Rival empires, frontier societies, trade, diplomacy, and religious diversity.","Creates the missing prerequisite for Byzantium and early Islamic expansion.","lesson.persia.achaemenid-empire","lesson.india.classical-debate-logic-and-knowledge","lesson.rome.crisis-and-reconfiguration","parthian_empire|sassanian_empire","Source brief required","Planned"
"55","lesson.rome.crisis-and-reconfiguration","Roman Crisis and Regional Reconfiguration","235","476","235–476 CE","04","Civil war, frontier pressures, economic change, eastern resilience, and western political fragmentation.","Replaces a one-date fall story with causes, continuities, and regional difference.","lesson.rome.mediterranean-empire","lesson.iran-rome.frontier-empires","lesson.mesoamerica.classic-maya","diocletian_split|fall_rome","Framing review","Planned"
"56","lesson.mesoamerica.classic-maya","Classic Maya Cities and Knowledge","250","800","c. 250–800 CE","04","Competing courts, writing, calendars, agriculture, warfare, and regional variation.","Builds a complex society from deciphered texts and archaeology rather than a single rise-and-fall trope.","lesson.mesoamerica.olmec-world","lesson.rome.crisis-and-reconfiguration","lesson.christianity.imperial-church","mayan_classic","Source brief required","Planned"
"57","lesson.christianity.imperial-church","Christianity and Imperial Power","300","500","c. 300–500 CE","04","Legalization, councils, institutions, conflict, and the diversity of Christian communities.","Explains how a movement became bound to empire and later states.","lesson.christianity.jesus-and-early-movement","lesson.mesoamerica.classic-maya","lesson.byzantium.justinian-law-and-empire","constantine|nicene_council","Framing review","Planned"
"58","lesson.byzantium.justinian-law-and-empire","Justinian's Byzantium: Law, Building, and War","527","565","527–565 CE","05","Legal compilation, Hagia Sophia, reconquest, taxation, and imperial ambition.","Shows continuity and transformation in the eastern Roman Empire through strong evidence.","lesson.rome.crisis-and-reconfiguration","lesson.christianity.imperial-church","lesson.disease.first-plague-pandemic","justinian","Source brief required","Planned"
"59","lesson.disease.first-plague-pandemic","The First Plague Pandemic","541","750","541–c. 750 CE","05","Disease evidence, trade routes, demographic disruption, and disputed scale.","Introduces pandemic causality with appropriate uncertainty and a later Black Death prerequisite.","lesson.byzantium.justinian-law-and-empire","lesson.byzantium.justinian-law-and-empire","lesson.islam.origins-and-community","plague_justinian","Framing review","Research required"
"60","lesson.islam.origins-and-community","The Origins of Islam","570","632","c. 570–632 CE","05","Muhammad's Arabia, revelation in Islamic tradition, community formation, and surviving sources.","Provides essential context while distinguishing devotional tradition from historical method.","lesson.iran-rome.frontier-empires","lesson.disease.first-plague-pandemic","lesson.india.bhakti-sufi-devotional-worlds","islam_origins","Framing review","Planned"
"61","lesson.india.bhakti-sufi-devotional-worlds","Bhakti, Sufi, and Devotional Worlds","600","1600","c. 600–1600 CE","05","Personal devotion, vernacular poetry, teachers and communities, and later encounters among Hindu bhakti and Islamic Sufi traditions across South Asia.","Explains how philosophical and religious ideas moved beyond elite textual institutions, reshaped language and social belonging, and generated new syntheses and disputes.","lesson.india.classical-debate-logic-and-knowledge|lesson.islam.origins-and-community","lesson.islam.origins-and-community","lesson.indian-ocean.monsoon-network","None","Framing review","Research required"
"62","lesson.indian-ocean.monsoon-network","The Monsoon Indian Ocean","600","1000","c. 600–1000 CE","05","Seasonal winds, ports, merchants, religions, and links from East Africa to China.","Establishes the network prerequisite for Swahili, South Asian, and Southeast Asian histories.","lesson.africa.aksum-red-sea","lesson.india.bhakti-sufi-devotional-worlds","lesson.japan.buddhism-and-court-state","battle_talas","Source brief required","Planned"
"63","lesson.japan.buddhism-and-court-state","Buddhism and the Japanese Court State","600","900","c. 600–900 CE","05","State formation, writing, Buddhist institutions, capitals, and continental exchange.","Provides prerequisite context for later warrior rule and Japanese cultural production.","lesson.china.han-state-and-silk-roads","lesson.indian-ocean.monsoon-network","lesson.china.tang-cosmopolitan-empire","nara_period","Source brief required","Planned"
"64","lesson.china.tang-cosmopolitan-empire","Tang China and a Cosmopolitan Empire","618","907","618–907 CE","05","State institutions, cities, Silk Road communities, Buddhism, literature, and rebellion.","A high-leverage case of empire and exchange across East and Central Asia.","lesson.china.han-state-and-silk-roads|lesson.china.han-confucian-imperial-synthesis","lesson.japan.buddhism-and-court-state","lesson.caliphates.expansion-and-governance","an_lushan|tang_dynasty|wu_zetian","Source brief required","Planned"
"65","lesson.caliphates.expansion-and-governance","Caliphates: Expansion, Rule, and Diversity","632","750","632–750 CE","05","Conquest, taxation, administration, religious communities, and Umayyad rule.","Explains rapid political change without reducing it to battle or conversion.","lesson.islam.origins-and-community","lesson.china.tang-cosmopolitan-empire","lesson.west-africa.ghana-and-sahara","tours|umayyad_caliphate","Source brief required","Planned"
"66","lesson.west-africa.ghana-and-sahara","Ghana and Trans-Saharan Exchange","700","1100","c. 700–1100 CE","05","Gold, salt, desert travel, Muslim merchants, and Sahelian state power.","Explains West African state formation through trade without treating outside contact as its cause.","lesson.farming.multiple-origins","lesson.caliphates.expansion-and-governance","lesson.baghdad.abbasid-knowledge-networks","ghana","Source set identified","Planned"
"67","lesson.baghdad.abbasid-knowledge-networks","Baghdad and Abbasid Knowledge Networks","750","1000","c. 750–1000 CE","05","Translation, scholarship, medicine, mathematics, paper, and patronage in connected institutions.","Explains how knowledge moved and changed across languages rather than assigning it to one civilization.","lesson.caliphates.expansion-and-governance","lesson.west-africa.ghana-and-sahara","lesson.north-atlantic.viking-mobility","house_wisdom","Framing review","Planned"
"68","lesson.north-atlantic.viking-mobility","Viking-Age Mobility and Exchange","750","1100","c. 750–1100 CE","05","Raiding, settlement, trade, slavery, ship technology, and North Atlantic crossings.","Reframes a memorable topic as connected mobility with both commerce and violence.","None","lesson.baghdad.abbasid-knowledge-networks","lesson.islam.reason-revelation-and-law","erik_red|lindisfarne|viking_trade|leif","Framing review","Planned"
"69","lesson.islam.reason-revelation-and-law","Reason, Revelation, and Law in Islamic Worlds","800","1200","c. 800–1200 CE","05","Kalām, falsafa, jurisprudence, scripture, causation, and competing arguments over what reason can establish and how revelation should be interpreted.","Turns the translation story into a genuine dialectical process whose debates transformed Islamic theology, law, science, Jewish philosophy, and Latin scholasticism.","lesson.baghdad.abbasid-knowledge-networks|lesson.islam.origins-and-community","lesson.north-atlantic.viking-mobility","lesson.southeast-asia.khmer-water-and-power","None","Source set identified","Planned"
"70","lesson.southeast-asia.khmer-water-and-power","Khmer States, Water, and Angkor","800","1300","c. 800–1300 CE","05","Mainland Southeast Asian state formation, water landscapes, temples, and regional exchange.","Adds an explanatory urban and environmental case with strong archaeological evidence.","lesson.indian-ocean.monsoon-network","lesson.islam.reason-revelation-and-law","lesson.pacific.polynesian-voyaging","khmer","Source brief required","Planned"
"71","lesson.pacific.polynesian-voyaging","Polynesian Voyaging and Settlement","800","1300","c. 800–1300 CE","05","Navigation, planned settlement, adaptation, and the late settlement of Aotearoa New Zealand.","Explains one of humanity's great navigation histories with careful regional chronology.","None","lesson.southeast-asia.khmer-water-and-power","lesson.persianate.poetry-philosophy-and-statecraft","polynesian_settlement","Framing review","Research required"
